ID,Year,Month,Day,Tsunami_Event,Earthquake_Event,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage ,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description
123,1693,1,9,,1129,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,1693,2,13,347,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,1694,11,20,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
126,1698,5,,3141,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,1698,,,,,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,3,M,0,2,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,
128,1698,,,,,Cereme,Java,Indonesia,-6.892,108.4,3078,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
129,1706,5,5,375,,Tenerife,Canary Is,Spain,28.271,-16.641,3715,Stratovolcano,2,,0,,0,,0,,0,3,0,0,0,0,0,0,0,0,0,3,0,
130,1707,5,,3148,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,1707,12,16,,1178,Fuji,Honshu-Japan,Japan,35.35,138.73,3776,Stratovolcano,4,,0,1,0,,0,,0,1,75,1,0,1,0,0,0,0,0,1,75,1
132,1711,12,11,,,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,3,P,3000,4,0,,0,,0,0,0,0,3000,4,0,0,0,0,0,0,0,
133,1712,1,15,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
134,1714,6,30,3150,,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,1716,7,20,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,2,M,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
136,1716,9,24,387,1205,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,4,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,3,0,3
137,1716,10,5,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,2,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
138,1716,11,9,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,1,1,0,,31,1,0,0,0,0,1,1,0,0,31,1,0,0,0,
139,1717,2,7,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,1,1,0,,30,1,0,0,0,0,1,1,0,0,30,1,0,0,0,
140,1717,8,4,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
141,1717,8,27,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
142,1718,2,1,,,Pico,Azores,Portugal,38.47,-28.4,2351,Stratovolcano,2,,2,1,0,,0,,0,0,0,0,2,1,0,0,0,0,0,0,0,
143,1721,5,11,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,5,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
